provider,function,memory,parameter,timestamp,duration,status,id,billed_duration,billed_units,cost,extra
Amazon,sleep2048,2048,128,2018-04-24T10:51:17.135Z,129,0,6a1c3d95-47ad-11e8-8339-abad49ad8ff8,200,0,6.67E-06,{'mem_used': 29}
Amazon,sleep2048,2048,128,2018-04-25T10:53:13.312Z,129,0,d9c7f077-4876-11e8-8ec6-a9875caa5fc5,200,0,6.67E-06,{'mem_used': 28}
Amazon,sleep2048,2048,128,2018-04-26T10:52:52.370Z,130,0,f7b3e7f5-493f-11e8-99d5-bda4ebbff61b,200,0,6.67E-06,{'mem_used': 29}
Amazon,sleep2048,2048,16,2018-04-24T10:51:13.488Z,17,0,6800b120-47ad-11e8-bfa1-b7507c768c74,100,0,3.33E-06,{'mem_used': 29}
Amazon,sleep2048,2048,16,2018-04-25T10:53:09.348Z,17,0,d77af3a7-4876-11e8-bad4-0d0b538b9255,100,0,3.33E-06,{'mem_used': 28}
Amazon,sleep2048,2048,16,2018-04-26T10:52:48.101Z,16,0,f539e775-493f-11e8-856a-7d65cb239a64,100,0,3.33E-06,{'mem_used': 29}
Amazon,sleep2048,2048,2,2018-04-24T10:51:09.962Z,3,0,65e8cd60-47ad-11e8-af6e-5d7af679efcc,100,0,3.33E-06,{'mem_used': 28}
Amazon,sleep2048,2048,2,2018-04-25T10:53:05.123Z,5,0,d4f978bd-4876-11e8-b8ef-27745aa68889,100,0,3.33E-06,{'mem_used': 28}
Amazon,sleep2048,2048,2,2018-04-26T10:52:44.383Z,4,0,f30490b2-493f-11e8-a5ae-6bcc65e396a1,100,0,3.33E-06,{'mem_used': 28}
Amazon,sleep2048,2048,2048,2018-04-24T10:51:26.333Z,2051,0,6e722a66-47ad-11e8-b039-c33a04af768e,2100,4,7.00E-05,{'mem_used': 29}
Amazon,sleep2048,2048,2048,2018-04-25T10:53:22.451Z,2051,0,de14b5b5-4876-11e8-8f41-3dbd736a3f1d,2100,4,7.00E-05,{'mem_used': 28}
Amazon,sleep2048,2048,2048,2018-04-26T10:53:01.413Z,2052,0,fbf27c52-493f-11e8-8d58-0f2e3a06e5fe,2100,4,7.00E-05,{'mem_used': 29}
Amazon,sleep2048,2048,256,2018-04-24T10:51:19.084Z,257,0,6b326876-47ad-11e8-90d2-bb9b0d7d8d0d,300,0,1.00E-05,{'mem_used': 29}
Amazon,sleep2048,2048,256,2018-04-25T10:53:14.708Z,258,0,da891d93-4876-11e8-a404-8128ba624c51,300,0,1.00E-05,{'mem_used': 28}
Amazon,sleep2048,2048,256,2018-04-26T10:52:53.802Z,258,0,f87b0897-493f-11e8-af61-4fff958574c0,300,0,1.00E-05,{'mem_used': 29}
Amazon,sleep2048,2048,32,2018-04-24T10:51:14.659Z,33,0,68b0edaf-47ad-11e8-8ac3-b391a564587c,100,0,3.33E-06,{'mem_used': 29}
Amazon,sleep2048,2048,32,2018-04-25T10:53:10.958Z,34,0,d8704fc0-4876-11e8-acae-f9b562181c6c,100,0,3.33E-06,{'mem_used': 28}
Amazon,sleep2048,2048,32,2018-04-26T10:52:49.887Z,34,0,f647adba-493f-11e8-8a82-ed5f9a177019,100,0,3.33E-06,{'mem_used': 29}
Amazon,sleep2048,2048,4,2018-04-24T10:51:11.169Z,5,0,66a0f937-47ad-11e8-a5a3-69d2ddb7a3fc,100,0,3.33E-06,{'mem_used': 28}
Amazon,sleep2048,2048,4,2018-04-25T10:53:06.231Z,5,0,d5a262bd-4876-11e8-ba25-cfd490e21439,100,0,3.33E-06,{'mem_used': 28}
Amazon,sleep2048,2048,4,2018-04-26T10:52:45.531Z,5,0,f3b36e98-493f-11e8-a912-a719a40c14e9,100,0,3.33E-06,{'mem_used': 28}
Amazon,sleep2048,2048,4096,2018-04-24T10:51:31.544Z,4101,0,7054a62f-47ad-11e8-9034-dd1b1fff4054,4200,8,0.000140028,{'mem_used': 29}
Amazon,sleep2048,2048,4096,2018-04-25T10:53:27.641Z,4102,0,dff44b35-4876-11e8-a5f9-9b387c84e168,4200,8,0.000140028,{'mem_used': 28}
Amazon,sleep2048,2048,4096,2018-04-26T10:53:06.707Z,4101,0,fde1efcc-493f-11e8-86b7-6bacf20aafb8,4200,8,0.000140028,{'mem_used': 29}
Amazon,sleep2048,2048,512,2018-04-24T10:51:21.144Z,514,0,6c45111f-47ad-11e8-955f-4133aef52149,600,1,2.00E-05,{'mem_used': 29}
Amazon,sleep2048,2048,512,2018-04-25T10:53:16.303Z,515,0,db5399cd-4876-11e8-8fed-87a41ae11466,600,1,2.00E-05,{'mem_used': 28}
Amazon,sleep2048,2048,512,2018-04-26T10:52:55.502Z,515,0,f95403b1-493f-11e8-9ef5-7f6cce94eb91,600,1,2.00E-05,{'mem_used': 29}
Amazon,sleep2048,2048,64,2018-04-24T10:51:15.884Z,65,0,6967453a-47ad-11e8-944c-7f4182480906,100,0,3.33E-06,{'mem_used': 29}
Amazon,sleep2048,2048,64,2018-04-25T10:53:12.098Z,65,0,d9189e39-4876-11e8-a49b-f712bf2c8f22,100,0,3.33E-06,{'mem_used': 28}
Amazon,sleep2048,2048,64,2018-04-26T10:52:51.100Z,64,0,f6fc307c-493f-11e8-83a9-b97e96fff553,100,0,3.33E-06,{'mem_used': 29}
Amazon,sleep2048,2048,8,2018-04-24T10:51:12.304Z,25,0,674a31fd-47ad-11e8-937a-93c3587e11d8,100,0,3.33E-06,{'mem_used': 29}
Amazon,sleep2048,2048,8,2018-04-25T10:53:07.432Z,25,0,d65670d6-4876-11e8-b95b-7fc51d59c100,100,0,3.33E-06,{'mem_used': 28}
Amazon,sleep2048,2048,8,2018-04-26T10:52:46.644Z,12,0,f45c58f4-493f-11e8-b8bb-372d4142b6e8,100,0,3.33E-06,{'mem_used': 29}
Amazon,sleep2048,2048,8192,2018-04-24T10:51:41.951Z,8201,0,74175353-47ad-11e8-8e2f-33ddc4c876c6,8300,16,0.000276722,{'mem_used': 30}
Amazon,sleep2048,2048,8192,2018-04-25T10:53:37.557Z,8202,0,e36bbf0e-4876-11e8-a223-59e0d1d3e98a,8300,16,0.000276722,{'mem_used': 29}
Amazon,sleep2048,2048,8192,2018-04-26T10:53:16.331Z,8203,0,012bea99-4940-11e8-a3c9-59def5b9ff05,8300,16,0.000276722,{'mem_used': 30}
Amazon,sleep256,256,1024,2018-04-24T10:49:25.348Z,1042,0,26ef95a6-47ad-11e8-85bb-197a1f3a945e,1100,0,4.58E-06,{'mem_used': 26}
